Phylum,color,FULLID
Bacteroidetes,brown,gi|497948932|ref|WP_010263088.1|
Bacteroidetes,brown,gi|503833198|ref|WP_014067192.1|
Bacteroidetes,brown,gi|503317634|ref|WP_013552295.1|
Bacteroidetes,brown,gi|500937400|ref|WP_012026172.1|
Bacteroidetes,brown,gi|498108645|ref|WP_010422801.1|
Bacteroidetes,brown,gi|497947768|ref|WP_010261924.1|
Bacteroidetes,brown,gi|524221168|emb|CCZ87003.1|
Bacteroidetes,brown,gi|523982181|emb|CCX63590.1|
Bacteroidetes,brown,gi|502829727|ref|WP_013064703.1|
Bacteroidetes,brown,gi|500933190|ref|WP_012024152.1|
Bacteroidetes,brown,gi|547187643|ref|WP_021929483.1|
Bacteroidetes,brown,gi|652378673|ref|WP_026774609.1|
D5GU71,black,
D5GU72,black,
558561059,gray,
Actinobacteria,steelblue4,gi|328455242|gb|AEB06436.1|
Actinobacteria,steelblue4,gi|171277486|gb|EDT45147.1|
Actinobacteria,steelblue4,gi|551245804|ref|WP_022866125.1|
Actinobacteria,steelblue4,gi|332676724|gb|AEE73540.1|
Actinobacteria,steelblue4,gi|551243405|ref|WP_022863751.1|
Actinobacteria,steelblue4,gi|491531376|ref|WP_005388999.1|
Actinobacteria,steelblue4,gi|389864690|ref|YP_006366930.1|
Actinobacteria,steelblue4,gi|302466160|gb|EFL29253.1|
Actinobacteria,steelblue4,gi|158315001|ref|YP_001507509.1|
Actinobacteria,steelblue4,gi|389863880|ref|YP_006366120.1|
Actinobacteria,steelblue4,gi|158110464|gb|ABW12661.1|
Actinobacteria,steelblue4,gi|311230789|gb|ADP83644.1|
Actinobacteria,steelblue4,gi|572851891|emb|CDK00210.1|
Actinobacteria,steelblue4,gi|518011572|ref|WP_019181780.1|
Actinobacteria,steelblue4,gi|651355969|ref|WP_026468336.1|
Actinobacteria,steelblue4,gi|498041019|ref|WP_010355175.1|
Actinobacteria,steelblue4,gi|288541518|gb|ADC45590.1|
Actinobacteria,steelblue4,gi|663631576|ref|WP_030437445.1|
Actinobacteria,steelblue4,gi|651268213|ref|WP_026401406.1|
